song_name,artist,url,cluster
...Ready For It?,Taylor Swift,spotify:track:7zgqtptZvhf8GEmdsM2vp2,0
Life Changes,Thomas Rhett,spotify:track:4Vxu50qVrQcycjRyJQaZLC,9
24K Magic,Bruno Mars,spotify:track:6b8Be6ljOzmkOmFslEb23P,9
Galway Girl,Ed Sheeran,spotify:track:0afhq8XCExXpqazXczTSve,9
Photograph,Ed Sheeran,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,2
Havana (feat. Young Thug),Camila Cabello,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,3
Havana (feat. Young Thug),Young Thug,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,3
When I Was Your Man,Bruno Mars,spotify:track:0nJW01T7XtvILxQgC5J7Wh,2
Gonna Fly Now,Bill Conti,spotify:track:6C2PfemHQul77DVpnvuAIs,6
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,0
Don't Wanna Know (feat. Kendrick Lamar),Kendrick Lamar,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,0
Thinking out Loud,Ed Sheeran,spotify:track:34gCuhDGsG4bRPIf9bb02f,9
Everybody Talks,Neon Trees,spotify:track:3528IXKpbb7OMjdjWYlbfD,9
We Are Never Ever Getting Back Together,Taylor Swift,spotify:track:7AEAGTc8cReDqcbPoY9gwo,9
Bad Blood,Taylor Swift,spotify:track:273dCMFseLcVsoSWx59IoE,9
Hall of Fame (feat. will.i.am),The Script,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,9
Hall of Fame (feat. will.i.am),will.i.am,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,9
Payphone,Maroon 5,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,9
Payphone,Wiz Khalifa,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,9
Sugar,Maroon 5,spotify:track:2iuZJX9X9P0GKaE93xcPjk,9
Stuck Like Glue,Sugarland,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,9
That's What I Like,Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,9
Steal My Girl,One Direction,spotify:track:2Bs4jQEGMycglOfWPBqrVG,3
I'm the One,DJ Khaled,spotify:track:72Q0FQQo32KJloivv5xge2,0
I'm the One,Justin Bieber,spotify:track:72Q0FQQo32KJloivv5xge2,0
I'm the One,Quavo,spotify:track:72Q0FQQo32KJloivv5xge2,0
I'm the One,Chance the Rapper,spotify:track:72Q0FQQo32KJloivv5xge2,0
I'm the One,Lil Wayne,spotify:track:72Q0FQQo32KJloivv5xge2,0
Wildest Dreams,Taylor Swift,spotify:track:59HjlYCeBsxdI0fcm3zglw,9
Young Dumb & Broke,Khalid,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,9
Unwritten,Natasha Bedingfield,spotify:track:1D1nixOVWOxvNfWi0UD7VX,0
Ignition - Remix,R. Kelly,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,9
Free Fallin',Tom Petty,spotify:track:5tVA6TkbaAH9QMITTQRrNv,9
Brown Eyed Girl,Van Morrison,spotify:track:3yrSvpt2l1xhsV9Em88Pul,9
It Girl,Jason Derulo,spotify:track:4fINc8dnfcz7AdhFYVA4i7,3
"Hey, Soul Sister",Train,spotify:track:0KpfYajJVVGgQ32Dby7e9i,3
Feel It Still,Portugal. The Man,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,3
Closer,The Chainsmokers,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,9
Closer,Halsey,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,9
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,9
Kiss Me Thru The Phone,Soulja Boy,spotify:track:2q4rjDy9WhaN3o9MvDbO21,9
